Lat,Lon,pr
40.658825,-78.620636,4.186717743945309
40.640526,-78.50949,4.176709093691182
40.622074,-78.39838,4.1365092943155775
40.60348,-78.28735,4.0060002287480865
40.58474,-78.17639,3.907988083444945
40.565872,-78.06552,3.944722490942432
40.546852,-77.95471,3.9677367714576346
40.527687,-77.843994,3.9644229328253906
40.508373,-77.73334,3.9598860993794998
40.488922,-77.62274,3.9332174875201202
40.46933,-77.51227,3.9906090707531447
40.449596,-77.401825,4.133782107994319
40.429718,-77.29147,4.194484196762099
40.409687,-77.18121,4.20790922850762
40.389538,-77.071014,4.2330945183230035
40.369225,-76.96091,4.279257142769389
40.348774,-76.85083,4.4115190824026165
40.328186,-76.740906,4.456569434236642
40.307465,-76.63101,4.357346770517753
40.286594,-76.52121,4.343025764033913
40.265583,-76.4115,4.386713141262628
