"","total_rain1","total_rain2","total_rain3","total_rain4","total_rain5","total_rain6","total_rain7","total_rain8","total_rain9","total_rain10","total_rain11","total_rain12","total_rain13","total_rain14","total_rain15","total_rain16","total_rain17","total_rain18","total_rain19","total_rain20","total_rain21","total_rain22","total_rain23","total_rain24","total_rain25","total_rain26","total_rain27","total_rain28","total_rain29","total_rain30","total_rain31","total_rain32","total_rain33","total_rain34","total_rain35","total_rain36","total_rain37","total_rain38","total_rain39","total_rain40","total_rain41","total_rain42"
"31910",NA,5.4,NA,NA,NA,NA,8.2,3.8,1,16.3,NA,NA,NA,NA,21.4,18.3,14.3,17.6,NA,NA,4.4,0.3,NA,NA,NA,20.1,4.9,NA,9.4,5.4,10.7,NA,6.1,15.3,NA,NA,4.1,3.8,NA,2.8,NA,NA
"31911",NA,NA,NA,NA,NA,1.6,NA,NA,0.3,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,4.4,NA,19.8,NA,2.1
"31912",NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,11.2,27,17.1,25.9
"31913",NA,8.9,NA,NA,NA,NA,11.7,24.7,1.3,14.8,NA,NA,NA,NA,2.3,1.8,6.4,12,NA,1,7.7,NA,NA,NA,2.1,12,19.6,NA,21.6,4.6,20.1,NA,4.9,11.5,NA,NA,15.3,0.3,NA,21.9,24.7,9.7
"31914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,13.7,1.8,22.1,15.8
"31915",NA,3.6,NA,NA,NA,NA,13.5,10.7,6.4,0.5,NA,NA,NA,NA,8.2,15,16,6.4,8.7,7.1,9.4,6.4,NA,NA,NA,0.5,14.5,NA,22.1,52.4,19.6,NA,NA,NA,NA,NA,22.6,NA,30,7.1,47.5,0.8
"31916",NA,NA,NA,NA,NA,12.7,NA,NA,5.1,2.8,NA,NA,24.7,NA,7.1,6.6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10.4,NA,NA,28.5,2.1,NA,NA,35.6,7.9,NA,NA,NA,1
"31917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,NA,NA,NA
"31919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA
"31922",NA,2.1,NA,NA,NA,7.9,0.5,NA,4.1,NA,NA,NA,2.6,NA,NA,1.3,3.3,11.2,NA,NA,6.6,5.1,NA,NA,NA,NA,3.3,NA,2.8,NA,5.9,NA,3.3,NA,NA,NA,NA,NA,27.2,NA,16.3,NA
"31923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31924",NA,10.7,NA,NA,NA,7.4,16,5.6,6.4,12.5,NA,NA,10.2,NA,41.2,32,16,NA,2.3,1.6,5.4,9.4,NA,NA,4.4,12.7,NA,NA,21.4,19.1,6.9,NA,19.6,13.7,NA,NA,18.6,NA,2.1,13,NA,0.3
"31925",NA,NA,NA,NA,NA,21.1,NA,9.4,NA,15.3,NA,NA,15.8,NA,4.1,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,2.6,NA,NA,1.8,16.3,NA,NA,NA,NA,NA,NA,3.8,NA,18.6,NA,8.7
"31926",NA,4.9,NA,NA,NA,NA,18.3,14.5,32.5,28.7,NA,NA,29.8,NA,NA,NA,24.7,57.7,NA,NA,33.8,0.3,NA,NA,NA,21.9,16.5,NA,15.3,NA,0.3,NA,28,44.5,NA,NA,2.3,9.9,NA,29.8,NA,15.3
"31927",NA,12.7,NA,NA,NA,13.5,0.8,22.1,9.7,NA,NA,NA,4.1,NA,3.3,1,4.4,17.6,4.4,2.3,17.6,16.3,NA,NA,5.1,5.6,28.7,NA,23.1,1.8,4.4,NA,NA,5.4,NA,NA,2.8,9.7,28.7,NA,NA,2.1
"31928",NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"31929",NA,47,NA,NA,NA,25.4,17.8,9.4,6.1,10.7,NA,NA,21.6,NA,17.1,6.6,33.1,48.5,5.6,8.9,28.5,12.5,NA,NA,NA,28,15.3,NA,17.3,9.7,20.4,NA,5.4,11.5,NA,NA,11.2,13.7,17.3,19.6,27.7,6.9
"31930",NA,3.6,NA,NA,NA,2.6,20.4,18.3,22.4,10.2,NA,NA,8.2,NA,NA,3.8,49.6,24.4,5.9,11.5,0.5,6.6,NA,NA,NA,21.6,15.5,NA,28.5,NA,27.5,NA,12.7,22.4,NA,NA,4.1,NA,34.1,35.8,12.7,17.8
"31931",NA,NA,NA,NA,NA,1,2.6,0.5,3.1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,21.9,11,3.3,12.2,NA,NA,37.6,NA,4.4,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,30.3,NA,10.4,37.4,27.2
"31932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,4.4,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,3.1
"31933",NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA
"31935",NA,NA,NA,NA,NA,5.4,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,14.5,NA,NA,1,4.9,3.6,NA,NA,NA,6.9,0.3,NA,NA,NA,3.8,NA,NA,29.8,NA,NA,NA,NA,8.7,NA,4.4,NA
"31936",NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,4.1,2.1,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31939",NA,NA,NA,NA,NA,NA,NA,3.1,NA,1,NA,NA,NA,NA,NA,7.4,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,7.1,11.5,NA,0.5
"31941",NA,5.9,NA,NA,NA,0.5,NA,NA,0.8,11.5,NA,NA,NA,NA,10.4,9.4,4.4,8.4,NA,NA,1.3,NA,NA,NA,NA,8.7,NA,NA,NA,12.7,1,NA,9.9,12,NA,NA,10.2,NA,17.3,NA,NA,NA
"31942",NA,NA,NA,NA,NA,NA,NA,4.4,NA,1.3,NA,NA,15.5,NA,3.3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1,NA,NA,0.3,NA,4.4,8.2,NA,NA
"31946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31948",NA,10.7,NA,NA,NA,12,23.4,19.6,8.2,24.2,NA,NA,NA,NA,20.9,26.4,31.8,20.9,5.9,6.9,10.4,8.9,NA,NA,6.9,29.8,13.5,NA,NA,18.6,21.9,NA,28.7,23.9,NA,NA,18.8,NA,NA,14.3,NA,NA
"31949",NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,19.1,8.9,NA,26.2
"31953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA
"31954",NA,16.5,NA,NA,NA,3.1,NA,3.1,3.8,15.3,NA,NA,89.2,NA,13.5,19.6,7.1,21.6,3.6,0.5,9.7,7.4,NA,NA,NA,12.5,5.1,NA,39.9,NA,15.8,NA,9.7,14.5,NA,NA,25.7,NA,7.9,33.8,19.6,1.3
"31955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32200",NA,3.3,NA,NA,NA,4.9,NA,2.3,4.1,3.8,NA,NA,3.8,NA,3.3,3.8,0.5,4.1,2.8,1.6,3.8,2.1,NA,NA,NA,2.6,NA,NA,0.8,4.9,0.8,NA,5.4,4.4,NA,NA,4.6,2.8,NA,6.6,NA,0.5
"32201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"32202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA
"32203",NA,7.1,NA,NA,NA,1,NA,NA,1.3,4.4,NA,NA,9.9,NA,16,17.1,4.4,4.4,2.6,1.3,2.8,4.9,NA,NA,3.8,3.1,NA,NA,1.3,7.7,2.3,NA,22.1,3.8,NA,NA,13.2,NA,NA,NA,NA,NA
"32206",NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32207",NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,2.1
"32208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA
"32209",NA,1.8,NA,NA,NA,3.1,NA,NA,NA,6.9,NA,NA,0.5,NA,1.8,3.1,0.3,NA,NA,NA,2.8,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA
"32210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,6.9,NA
"32211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32212",NA,20.4,NA,NA,NA,5.1,13.2,9.4,7.7,15,NA,NA,15,NA,14.5,12,18.3,27,10.7,8.7,8.7,7.7,NA,NA,4.4,10.4,8.4,NA,17.8,7.4,19.3,NA,8.2,16.3,NA,NA,19.1,16.8,13.7,7.9,NA,6.1
"32216",NA,NA,NA,NA,NA,NA,4.4,NA,1.3,NA,NA,NA,2.6,NA,NA,NA,2.1,3.1,1.8,2.3,NA,2.6,NA,NA,2.1,1.3,4.6,NA,6.1,NA,4.9,NA,NA,NA,NA,NA,NA,7.1,NA,8.2,23.9,9.9
"32217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
"32218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
"32221",NA,1.8,NA,NA,NA,NA,3.1,1.8,4.1,4.4,NA,NA,NA,NA,NA,NA,3.1,6.6,0.5,1.3,1.8,2.6,NA,NA,NA,6.1,4.4,NA,4.9,2.6,0.5,NA,NA,5.4,NA,NA,1,NA,NA,NA,NA,NA
"32222",NA,20.9,NA,NA,NA,NA,5.9,8.2,9.7,27.2,NA,NA,27.2,NA,32.3,41.7,24.4,38.9,13.5,13.2,21.6,8.9,NA,NA,12.7,21.6,8.4,NA,4.6,29,11.2,NA,12.7,21.6,NA,NA,23.7,5.1,NA,NA,NA,NA
"32223",NA,1.6,NA,NA,NA,0.3,NA,20.9,10.7,1.3,NA,NA,4.6,NA,NA,NA,6.6,NA,0.5,2.3,2.3,NA,NA,NA,4.4,2.6,8.7,NA,16.3,1.6,15.3,NA,24.2,4.6,NA,NA,5.1,12,NA,8.2,NA,11
"32224",NA,1,NA,NA,NA,NA,0.5,NA,1.6,1.3,NA,NA,0.5,NA,4.9,2.3,3.8,NA,NA,1,4.4,NA,NA,NA,NA,0.5,NA,NA,0.3,NA,1,NA,1.3,NA,NA,NA,3.3,NA,17.3,NA,NA,0.3
"32225",NA,NA,NA,NA,NA,NA,1.8,1.8,NA,3.3,NA,NA,2.1,NA,2.3,3.6,3.8,0.5,1,NA,NA,1,NA,NA,3.6,1,7.7,NA,7.4,NA,6.4,NA,7.1,4.1,NA,NA,NA,4.1,21.9,0.3,NA,1.8
"32226",NA,3.6,NA,NA,NA,4.9,NA,1,NA,15.5,NA,NA,9.2,NA,6.1,9.4,NA,NA,NA,NA,2.3,1.8,NA,NA,NA,10.7,NA,NA,NA,16.3,5.6,NA,5.9,NA,NA,NA,6.1,NA,13.7,NA,NA,NA
"32227",NA,18.3,NA,NA,NA,25.9,24.4,32.3,9.9,7.4,NA,NA,1.6,NA,13,13.2,20.1,19.3,20.4,37.1,16.5,12.5,NA,NA,24.7,33.1,23.1,NA,19.8,15.3,8.2,NA,27.2,24.4,NA,NA,19.8,18.8,NA,17.1,NA,25.9
"32228",NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,3.1
"32229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,5.6,NA
"32230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,NA
"32231",NA,17.1,NA,NA,NA,6.6,5.9,11.5,7.7,15.8,NA,NA,20.1,NA,9.9,21.1,3.1,9.4,1.6,0.3,13.5,7.9,NA,NA,1.8,20.9,1,NA,8.9,19.1,8.4,NA,27,13.7,NA,NA,14,2.6,1.6,9.7,59,3.8
"32232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2.8,NA,NA,NA,NA,3.3,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,NA
"32238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,14.5,NA
"32239",NA,NA,NA,NA,NA,4.1,3.3,6.1,5.9,3.1,NA,NA,NA,NA,NA,0.3,NA,NA,0.8,NA,6.4,4.6,NA,NA,6.9,4.1,2.8,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA
"32240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA
"32241",NA,NA,NA,NA,NA,NA,5.6,1.8,NA,NA,NA,NA,1.8,NA,2.3,0.5,12,4.1,NA,1.6,NA,1.8,NA,NA,2.8,13.2,5.6,NA,14,NA,7.9,NA,NA,13.5,NA,NA,NA,4.4,1.3,6.6,NA,NA
"32242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1
"32243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA
"32247",NA,11,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,32,NA,1.6,NA,NA,NA,NA,NA,3.6,1,NA,NA,NA,NA,NA,NA,NA,34.6,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA
"32248",NA,17.1,NA,NA,NA,5.9,8.2,17.1,1.3,33.8,NA,NA,9.2,NA,1.6,7.1,12.7,25.7,0.3,4.1,11.7,2.6,NA,NA,2.3,25.9,4.1,NA,9.9,4.4,8.4,NA,12.5,NA,NA,NA,19.3,6.6,NA,3.3,NA,NA
"32249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,4.1,NA,0.8
"32250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,1.3,NA,NA,3.6,28.5,NA
"32251",NA,23.4,NA,NA,NA,1.8,5.4,18.3,3.8,20.1,NA,NA,18.6,NA,6.1,12.5,14,15.5,NA,NA,5.4,NA,NA,NA,NA,15.3,4.6,NA,8.4,14,7.9,NA,3.1,22.4,NA,NA,8.2,1.6,NA,1.3,NA,NA
"32252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,6.6,NA,NA,2.1
"32253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32254",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,2.6,2.6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"32255",NA,1.3,NA,NA,NA,12.2,6.9,17.1,11.7,2.1,NA,NA,NA,NA,NA,NA,34.1,14.5,3.1,4.6,9.7,6.1,NA,NA,0.3,6.9,2.8,NA,7.4,NA,9.9,NA,1.3,1.3,NA,NA,NA,5.6,1.6,14.3,NA,NA
"32256",NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6.1
"32259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,0.3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,6.9,NA,NA,7.9,1.8,NA,NA,3.6,NA,1,NA,NA,NA
"32262",NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32263",NA,NA,NA,NA,NA,8.7,NA,NA,2.3,3.1,NA,NA,NA,NA,NA,NA,8.2,NA,24.4,12.2,2.6,1.8,NA,NA,11.5,5.6,9.2,NA,7.1,NA,6.4,NA,NA,0.3,NA,NA,NA,20.9,1,14.8,47.5,9.9
"32264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,4.1,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32265",NA,1.3,NA,NA,NA,20.1,8.7,NA,0.5,5.4,NA,NA,0.5,NA,1.8,3.1,15.8,9.7,16.3,11.5,32.3,27.2,NA,NA,6.9,4.6,16.5,NA,12,2.1,9.9,NA,NA,2.6,NA,NA,NA,NA,3.3,NA,NA,NA
"32266",NA,NA,NA,NA,NA,NA,9.4,NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.3,NA,11,NA,12.7,NA,5.1,NA,NA,NA,NA,NA,NA,1,NA,NA
"32267",NA,NA,NA,NA,NA,2.3,NA,NA,2.6,0.8,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"32269",NA,17.1,NA,NA,NA,17.6,11.7,NA,3.1,38.4,NA,NA,3.3,NA,8.7,7.9,10.7,29.8,34.6,17.3,12.5,54.9,NA,NA,10.7,30.3,5.1,NA,8.9,0.8,8.4,NA,13.2,32.5,NA,NA,NA,5.9,14,NA,NA,NA
"32270",NA,4.1,NA,NA,NA,NA,6.1,NA,14.8,6.4,NA,NA,NA,NA,0.8,NA,2.1,NA,NA,4.9,13.2,NA,NA,NA,1,17.1,2.3,NA,4.4,NA,4.4,NA,NA,18.3,NA,NA,NA,22.9,NA,25.7,NA,11.7
"32271",NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,8.9,NA,NA,NA,NA,4.1,NA,5.4,NA,9.9,NA,NA,NA,NA,NA,NA,25.9,21.1,NA,36.1,NA
"32272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9,NA
"32275",NA,0.8,NA,NA,NA,2.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.8,NA,NA,NA,2.8,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,2.1,NA,9.4,NA
"32276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3
"32277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"32278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,0.8,NA,29.8,NA
"32279",NA,35.1,NA,NA,NA,19.3,17.3,NA,20.9,19.3,NA,NA,48,NA,15.5,5.6,14.5,6.1,12.5,5.6,22.1,13,NA,NA,NA,6.9,18.1,NA,26.2,8.9,8.4,NA,7.1,20.9,NA,NA,27.5,26.2,NA,8.2,17.8,5.1
"32280",NA,2.6,NA,NA,NA,0.8,0.3,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.3,17.6,14.8,0.8,NA,NA,NA,17.6,NA,12.2,NA,1,NA,14,NA,NA,NA,NA,NA,NA,4.4,26.4,2.8,23.9,1.8
"32282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
